name,short_description,genres,release_date,developer,publisher,overall_player_rating,number_of_reviews_from_purchased_people,number_of_english_reviews,link
TrackDayR,"The most complete motorcycle simulator that allows you to ride every type of motorbikes including ATVs, 3 Wheelers prototype and Sidecars. Challenge your online friends on TrackDayR and climb the leaderboards of players all over the world. TrackDayR, Trackday Everyday!","Motocross, Bikes, Racing, Simulation, Motorbike, ATV, Sports, Driving, Realistic, PvP, 3D, Early Access, Indie, Singleplayer, Massively Multiplayer, Multiplayer, Automobile Sim, Runner, Offroad, First-Person",2021-03-17,MadCow S.r.l.,MadCow S.r.l.,Very Positive,(649),319,https://store.steampowered.com/app/1511630/TrackDayR?snr=1_category_4_sportsandracing_100727
69 Balls,"A Third-Person shooting game but you are not a person. You are a BALL! Imagine a pool ball, a shotgun and football mechanics mashed together! You said you cant? Neither do I! Just shoot everything you see and pray if the black ball goes in!","Pool, Football (Soccer), Multiplayer, PvP, Funny, Team-Based, eSports, Third Person, Sports, Action, Mini Golf, Football (American), Simulation, RTS, Shooter, Real Time Tactics, Third-Person Shooter, 3D, Cartoony, Free to Play",2023-06-16,"Matthew Choi, Plum Point 2",GKStudio,Very Positive,(91% of 143) All Time,120,https://store.steampowered.com/app/2335720/69_Balls?snr=1_category_4_sportsandracing_100727
MX vs. ATV Reflex,Think fast and hang on to your ride as you take independent control of the rider and take the ultimate test of mettle. Dual controls let you tear it up with death-defying tricks and high-flying freestyle action. Fight for traction and dig up the track to leave your mark.,"Racing, Motocross, Offroad, Multiplayer, Motorbike, Open World, Sports, Singleplayer, ATV, Simulation, Action, Bikes, Moddable, Controller, Arcade, Driving",2010-11-26,"Rainbow Studios, THQ Nordic",THQ Nordic,Very Positive,"(87% of 2,597) All Time",2118,https://store.steampowered.com/app/55140/MX_vs_ATV_Reflex?snr=1_category_4_sportsandracing_100727
MXGP 2021 - The Official Motocross Videogame,"All the power of Motocross in your hands: the new MXGP 2021 is finally here! The official MXGP videogame is ready to show you what its made of: warm up your engines and get ready for the most realistic, exciting two-wheeled experience ever!","Racing, Simulation, Sports, Bikes, Motocross, Motorbike, PvP, Multiplayer, Singleplayer",2021-11-30,Milestone S.r.l.,Milestone S.r.l.,Very Positive,(757),362,https://store.steampowered.com/app/1610470/MXGP_2021__The_Official_Motocross_Videogame?snr=1_category_4_sportsandracing_100727
Session: Skate Sim,"Made by and for skaters, the dual stick controls faithfully reproduce your feet on the skateboard for an ultra-realistic experience. Try out real-life iconic skate spots, customise your skater and equipment with items from the top brands","Sports, Skateboarding, Simulation, Singleplayer, Indie, Action, Realistic, Third Person, Difficult, Exploration, Funny, Family Friendly, Physics, Early Access, Character Customization, Skating, Immersive Sim, Parkour, Multiplayer, Strategy",2022-09-22,crea-ture Studios Inc.,Nacon,Very Positive,"(11,505)",9446,https://store.steampowered.com/app/861650/Session_Skate_Sim?snr=1_category_4_sportsandracing_100727
MXGP3 - The Official Motocross Videogame,Experience all the adrenaline of Motocross with the official Championship’s only videogame!,"Racing, Sports, Simulation, Motocross, Motorbike, Offroad, Multiplayer, Bikes, Singleplayer",2017-05-29,Milestone S.r.l.,Milestone S.r.l.,Very Positive,(86% of 838) All Time,519,https://store.steampowered.com/app/561600/MXGP3__The_Official_Motocross_Videogame?snr=1_category_4_sportsandracing_100727
MXGP - The Official Motocross Videogame,"The only official MXGP videogame: all the riders and bikes from MX1 and MX2! Race on 1:1 scale official championship tracks. Career mode takes you from Debut Season to MX1. The game physics and dual stick control allow for separate control of bike and rider: unprecedented realism, in your hands.","Racing, Sports, Simulation, Motocross, Offroad, Motorbike, Multiplayer, Bikes, Action, Realistic, Adventure, Singleplayer, Open World, Co-op",2014-03-28,Milestone S.r.l.,"Plug In Digital, Milestone S.r.l.",Very Positive,"(81% of 1,208) All Time",630,https://store.steampowered.com/app/256370/MXGP__The_Official_Motocross_Videogame?snr=1_category_4_sportsandracing_100727
Walkabout Mini Golf VR,"Escape into a fun and beautiful world filled with the best mini golf courses you’ve ever seen! Play by yourself, meet someone new, or challenge your friends in a private game with up to 8 people. Extremely realistic physics create the perfect experience for hardcore golfers and casual players alike.","Sports, Golf, Mini Golf, VR, PvP, 3D, First-Person, Casual, Historical, Colorful, Minimalist, Stylized, Fantasy, Pirates, 6DOF, Atmospheric, Multiplayer, Nature, Physics, Singleplayer",2021-07-15,Mighty Coconut,Mighty Coconut,Overwhelmingly Positive,"(2,656)",2555,https://store.steampowered.com/app/1408230/Walkabout_Mini_Golf_VR?snr=1_category_4_sportsandracing_100727
MX vs ATV All Out,"All Terrain, All Vehicles, All You! MX vs ATV All Out is the complete off-road racing and lifestyle experience! Find your Rider Style at your private compound, Free Ride across massive environments, and compete in the best series events!","Racing, Sports, Simulation, Motocross, ATV, Motorbike, Offroad, Open World, Multiplayer, Split Screen, Bikes",2018-03-27,Rainbow Studios,THQ Nordic,Very Positive,"(81% of 1,212) All Time",1175,https://store.steampowered.com/app/520940/MX_vs_ATV_All_Out?snr=1_category_4_sportsandracing_100727
Driftwood,"A game about high-speed downhill longboarding and a sloth named Eddy. Carve up the mountainside as you drift through the beautiful landscape, and find the perfect balance of speed and control.","Early Access, Exploration, Racing, Sports, Skating, Physics, Driving, Simulation, Skateboarding, Relaxing, Nature, Competitive, Arcade, Character Customization, 3D, Third Person, Action, Controller, Action-Adventure, Cute",2023-06-01,Stoked Sloth Interactive,Stoked Sloth Interactive,Overwhelmingly Positive,(753),672,https://store.steampowered.com/app/2223700/Driftwood?snr=1_category_4_sportsandracing_100727
RIDE 4,"Are you ready to live the best gaming experience that a motorcycle fan can get? RIDE 4 will spark your competitive soul with hundreds of bikes, dozens of tracks and a whole new level of realism.","Racing, Motorbike, Sports, Multiplayer, First-Person, Open World, Third Person, Simulation, Automobile Sim, Driving, PvP, Singleplayer, Bikes, Competitive, VR, Controller, Difficult, Split Screen",2020-10-08,Milestone S.r.l.,Milestone S.r.l.,Very Positive,"(8,719)",3041,https://store.steampowered.com/app/1259980/RIDE_4?snr=1_category_4_sportsandracing_100727
Gym Simulator 24,"Gym Simulator 24: Build Your Fitness Empire! Embark on a journey to create your dream fitness haven in Gym Simulator 24, the ultimate simulation game where youll ascend the ranks and craft your very own fitness empire.","Simulation, Immersive Sim, Casual, Management, Life Sim, Building, Sports, Martial Arts, 3D Fighter, Boxing, FPS, 3D, 3D Vision, Realistic, Colorful, Cycling, Economy, Modern, Female Protagonist, Trading",2024-07-19,Quatech,Red Axe Games,Very Positive,"(1,778)",348,https://store.steampowered.com/app/2559270/Gym_Simulator_24?snr=1_category_4_sportsandracing_100727
Wrestling Empire,The lightweight champion of wrestling comes full circle with higher resolution visuals and a smoother frame rate - whilst still retaining the retro style that puts the fun first! Now featuring whole other booking & roaming modes at no extra cost for the biggest Triple Threat in wrestling.,"Sports, Wrestling, 3D Fighter, Character Customization, Simulation, Choices Matter, 3D, 'Beat em up', Immersive Sim, Cartoony, Colorful, Third Person, Martial Arts, 1980s, Combat, 4 Player Local, Local Co-Op, Local Multiplayer, Singleplayer, Multiplayer",2021-07-02,MDickie,MDickie,Overwhelmingly Positive,"(2,172)",1946,https://store.steampowered.com/app/1620340/Wrestling_Empire?snr=1_category_4_sportsandracing_100727
RIDE 3,"Experience the most complete racing ever with RIDE 3! Race on different tracks all over the world, put your favourite vehicles speed to the test and have fun by customising them with the new Livery Editor.","Racing, Simulation, Sports, Motorbike, Multiplayer, Bikes, Competitive, Atmospheric, Open World, Singleplayer, Funny, Driving",2018-11-30,Milestone S.r.l.,Milestone S.r.l.,Very Positive,"(4,306)",1518,https://store.steampowered.com/app/759740/RIDE_3?snr=1_category_4_sportsandracing_100727
Golf Gang,Golf Gang is a racing game. It’s a party game. It’s the fastest game of minigolf youll ever play! Blend precision with speed to dominate in 8-player online mayhem or your solo speed runs.,"Mini Golf, PvP, Multiplayer, Racing, Arcade, Sports, Physics, Indie, Family Friendly, Combat Racing, Funny, Co-op, Cute, Singleplayer, Action, Party Game, Casual, Party, Golf, Online Co-Op",2022-05-19,Lazy Monday Games,Curve Games,Very Positive,(85% of 692) All Time,622,https://store.steampowered.com/app/1151050/Golf_Gang?snr=1_category_4_sportsandracing_100727
Lonely Mountains: Downhill,"Just you and your bike - take it on a thrilling ride down an unspoiled mountain landscape. Make your way through thick forests, narrow trails and wild rivers. Race, jump, slide and try not to crash - all the way from the peak to the valley!","Bikes, Difficult, Sports, Indie, Racing, Physics, Nature, Singleplayer, Simulation, Cycling, Exploration, Open World, Action, 3D, Fast-Paced, Souls-like, Offroad, Funny, Competitive, Arcade",2019-10-23,Megagon Industries,Megagon Industries,Very Positive,"(2,235)",1446,https://store.steampowered.com/app/711540/Lonely_Mountains_Downhill?snr=1_category_4_sportsandracing_100727
GP Bikes,"GP Bikes is a realistic motorcycle simulator, based on a scratch built physics engine that accurately simulates motorcycle dynamics and setup options.","Racing, Sports, Bikes, Simulation, Motorbike, PvP, VR, eSports, First-Person, Third Person, Early Access, Multiplayer, Singleplayer, TrackIR",2021-12-17,PiBoSo,PiBoSo,Very Positive,(92% of 297) All Time,240,https://store.steampowered.com/app/848050/GP_Bikes?snr=1_category_4_sportsandracing_100727
Golf Peaks,"A relaxing puzzle game where you climb mountains by playing golf. Pick the right cards, avoid hazards and conquer over 120 summits!","Card Game, Strategy, Sports, Casual, Isometric, Management, Golf, Colorful, Family Friendly, 2D, Singleplayer, Wholesome, Mini Golf, Turn-Based, Minimalist, Puzzle, Cozy, Stylized, 2.5D, Nature",2018-11-13,Afterburn,Afterburn,Overwhelmingly Positive,(658),354,https://store.steampowered.com/app/923260/Golf_Peaks?snr=1_category_4_sportsandracing_100727
PIPE by BMX Streets,"PIPE is a physics based BMX experience built for the BMX community designed to simulate realistic BMX motion. Perform over 50 aerial stunts, grind any corner, send big airs in the PIPE! PIPE also includes some fun Easter Eggs for those willing to explore and think outside the box.","Sports, Simulation, Indie, BMX, Bikes, Open World, Multiplayer, Singleplayer, Mod",2018-03-15,Mash Games,Mash Games,Very Positive,"(5,350)",2337,https://store.steampowered.com/app/815780/PIPE_by_BMX_Streets?snr=1_category_4_sportsandracing_100727
MXGP PRO,"Adjust your bikes configuration like a mechanic and win a race with the new Pro Physics. Practice in the Compound, a vast area where you can freely explore or compete against the AI. All the official tracks and riders from the 2017 season await you!","Simulation, Racing, Sports, Motocross, Motorbike, Multiplayer, Offroad",2018-06-29,Milestone S.r.l.,Milestone S.r.l.,Very Positive,(777),433,https://store.steampowered.com/app/798290/MXGP_PRO?snr=1_category_4_sportsandracing_100727
MXGP 2019 - The Official Motocross Videogame,"Experience the excitement of the 2019 season for the first time in the series! Race in official MX teams, share your gaming experience with the community thanks to the Track Editor and the Waypoint mode and practice in the Playground to learn to ride like a real pro!","Simulation, Racing, Sports, Motorbike, Motocross, Multiplayer",2019-08-27,Milestone S.r.l.,Milestone S.r.l.,Very Positive,(90% of 858) All Time,446,https://store.steampowered.com/app/1018160/MXGP_2019__The_Official_Motocross_Videogame?snr=1_category_4_sportsandracing_100727
Ride 2,The fastest and most iconic bikes in the worlds biggest digital garage!,"Racing, Sports, Simulation, Motorbike, Bikes, Multiplayer, Open World, Singleplayer, Action, Split Screen, Controller",2016-10-07,Milestone S.r.l.,Milestone S.r.l.,Very Positive,"(86% of 2,335) All Time",1045,https://store.steampowered.com/app/477770/Ride_2?snr=1_category_4_sportsandracing_100727
Tanuki Sunset,"Master the longboard as you drift through stunning mountain ranges, swerve through bustling city streets, and along the sandy beaches of Sunset Island. Train to perform epic tricks, from jumping off-ramp to longboarding backwards. Grab Your Longboard and Race to the Top in Tanuki Sunset!","Racing, Action, Indie, Sports, Adventure, Skateboarding, Skating, Casual",2020-12-04,Rewind Games,Rewind Games,Very Positive,(93% of 420) All Time,451,https://store.steampowered.com/app/1251460/Tanuki_Sunset?snr=1_category_4_sportsandracing_100727
Grand Mountain Adventure: Wonderlands,"Grand Mountain Adventure: Wonderlands lets you explore freely and at your pace entire ski resorts and the surrounding mountains. Unlock ski lifts and reach new areas by competing in challenges, or enjoy the scenery while you find your own path down the mountains.","Simulation, Adventure, Sports, Casual, Indie, Racing, Skiing, Snowboarding, Open World, 3D, Multiplayer, Co-op, Singleplayer, Beautiful",2022-03-10,Toppluva AB,Microids,Very Positive,(94% of 196) All Time,246,https://store.steampowered.com/app/1247360/Grand_Mountain_Adventure_Wonderlands?snr=1_category_4_sportsandracing_100727
